IP Address,You are going to answer questions related to this brand:,Please consider only your negative views about Apple and ignore your positive views. How negative is your attitude about Apple? - 1,Please consider only your positive views about Apple and ignore your negative views. How positive is your attitude about Apple? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Apple: - 1,Please describe your feelings toward Apple - 1,How likely are you to discuss your experience with Apple on your Facebook page? - 1,How likely are you to discuss your experience with Apple  Anonymously on a public forum? - 1,How likely are you to discuss your experience with Apple Identified on a public forum? - 1,How likely are you to discuss your experience with Apple on your Twitter? - 1,How likely are you to discuss your experience with Apple on your Instagram? - 1,How likely are you to discuss your experience with Apple on your WhatsApp? - 1,"Please predict the reaction of the most important people in your life, if you discuss your experience with Apple on your Facebook page:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Apple on your Twitter page:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Apple on your Instagram:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Apple on your WhatsApp:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Apple Anonymously on a public forum:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Apple Identified on a public forum: ""They will ..."" - 1",You are going to answer questions related to this brand:,Please consider only your negative views about Samsung and ignore your positive views. How negative is your attitude about Samsung? - 1,Please consider only your positive views about Samsung and ignore your negative views. How positive is your attitude about Samsung? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Samsung: - 1,Please describe your feelings toward Samsung - 1,How likely are you to discuss your experience with Samsung on your Facebook page? - 1,How likely are you to discuss your experience with Samsung on your WhatsApp? - 1,How likely are you to discuss your experience with Samsung on your Instagram ? - 1,How likely are you to discuss your experience with Samsung on your Twitter? - 1,How likely are you to discuss your experience with Samsung Anonymously on a public forum? - 1,How likely are you to discuss your experience with Samsung Identified on a public forum? - 1,"Please predict the reaction of the most important people in your life, if you discuss your experience with Samsung on your Facebook page:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Samsung Anonymously on a public forum:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Samsung Identified on a public forum: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Samsung on Instagram: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Samsung on Twitter: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Samsung Identified on WhatsApp: ""They will ..."" - 1",You are going to answer questions related to this brand:,Please consider only your negative views about Coca Cola and ignore your positive views. How negative is your attitude about Coca Cola? - 1,Please consider only your positive views about Coca Cola and ignore your negative views. How positive is your attitude about Coca Cola? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Coca Cola: - 1,Please describe your feelings toward Coca Cola: - 1,How likely are you to discuss your experience with Coca Cola Identified on a public forum? - 1,How likely are you to discuss your experience with Coca Cola on your Facebook page? - 1,How likely are you to discuss your experience with Coca Cola on your Instagram? - 1,How likely are you to discuss your experience with Coca Cola on your Twitter? - 1,How likely are you to discuss your experience with Coca Cola on WhatsApp? - 1,How likely are you to discuss brand Nike Anonymously on a public forum? - 1,"Please predict the reaction of the most important people in your life, if you discuss your experience with Coca Cola Identified on a public forum: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Coca Cola Anonymously on a public forum: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Coca Cola on your Facebook page: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Coca Cola on your Instagram: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Coca Cola on your WhatsApp: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss your experience with Coca Cola on your Twitter: ""They will ..."" - 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,4,5,2,4,4,3,4,3,4,4,3,2
157.51.109.76,,,,,,,,,,,,,,,,,,,4,3,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
63.150.210.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,9,9,3,1,1,1,1,1,1,3,3,4,3,3,3
103.114.211.78,4,5,5,4,4,4,5,4,4,5,5,4,4,4,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.126.71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,4,4,2,2,2,2,2,2,3,3,3,3,3,3
47.196.127.126,,2,4,5,2,3,2,1,1,1,1,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.33.146.30,,,,,,,,,,,,,,,,,,,4,2,3,3,2,3,1,1,1,1,1,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
173.88.8.208,4,1,4,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.210.242.100,,,,,,,,,,,,,,,,,,,4,1,4,2,2,2,4,4,3,4,3,4,4,3,4,3,3,4,,,,,,,,,,,,,,,,,,
122.178.47.50,,,,,,,,,,,,,,,,,,,4,3,4,3,4,4,4,4,4,4,5,3,4,3,5,5,4,4,,,,,,,,,,,,,,,,,,
103.99.150.170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,3,4,3,4,4,4,5,5,4,3,5,4,5,3
96.32.30.254,,,,,,,,,,,,,,,,,,,4,1,4,1,1,1,4,2,2,2,2,2,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
117.211.44.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4
98.148.74.247,,,,,,,,,,,,,,,,,,,4,1,4,2,1,1,2,2,2,1,2,1,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
223.181.197.70,4,5,5,5,4,5,4,5,4,5,4,5,5,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.82.211.200,,,,,,,,,,,,,,,,,,,4,1,2,3,3,4,2,3,3,3,4,4,3,3,4,4,3,4,,,,,,,,,,,,,,,,,,
106.217.142.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,2,4,4,1,1,4,2,4,4,4,4,4,4
136.55.168.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,2,2,3,2,2,2,1,2,3,3,4,4,4,4
171.61.255.112,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,5,4,5,4,4,5,4,4,4,4,4,,,,,,,,,,,,,,,,,,
72.52.87.97,,2,4,2,1,3,4,4,4,4,3,2,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.101.89.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
157.50.97.167,4,3,3,3,4,4,4,3,4,2,4,2,3,3,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.88.75.48,,,,,,,,,,,,,,,,,,,4,1,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,4,,,,,,,,,,,,,,,,,,
122.174.200.163,,,,,,,,,,,,,,,,,,,4,1,4,4,5,4,5,4,5,4,3,4,4,5,5,4,5,4,,,,,,,,,,,,,,,,,,
