Start Date,End Date,Response Type,IP Address,Distribution Channel,User Language,You are going to answer questions related to this brand:,Please consider only your negative views about Walmart and ignore your positive views. How negative is your attitude about Walmart? - 1,Please consider only your positive views about Walmart and ignore your negative views. How positive is your attitude about Walmart? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Walmart: - 1,Please describe your feelings toward Walmart - 1,How likely are you to discuss Walmart on your Facebook page? - 1,How likely are you to discuss brand Walmart Anonymously on a public forum? - 1,How likely are you to discuss brand Walmart Identified on a public forum? - 1,"Please predict the reaction of the most important people in your life, if you discuss Walmart on your Facebook page:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Walmart Anonymously on a public forum:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Walmart Identified on a public forum: ""They will ..."" - 1",You are going to answer questions related to this brand:,Please consider only your negative views about Samsung and ignore your positive views. How negative is your attitude about Samsung? - 1,Please consider only your positive views about Samsung and ignore your negative views. How positive is your attitude about Samsung? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Samsung: - 1,Please describe your feelings toward Samsung - 1,How likely are you to discuss Samsung on your Facebook page? - 1,How likely are you to discuss Samsung Anonymously on a public forum? - 1,How likely are you to discuss brand Samsung Identified on a public forum? - 1,"Please predict the reaction of the most important people in your life, if you discuss Samsung on your Facebook page:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Samsung Anonymously on a public forum:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Samsung Identified on a public forum: ""They will ..."" - 1",You are going to answer questions related to this brand:,Please consider only your negative views about Nike and ignore your positive views. How negative is your attitude about Nike? - 1,Please consider only your positive views about Nike and ignore your negative views. How positive is your attitude about Nike? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Nike: - 1,Please describe your feelings toward Nike: - 1,How likely are you to discuss brand Nike Identified on a public forum? - 1,How likely are you to discuss brand Nike on your Facebook page? - 1,How likely are you to discuss brand Nike Anonymously on a public forum? - 1,"Please predict the reaction of the most important people in your life, if you discuss Nike Identified on a public forum: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Nike Anonymously on a public forum: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Nike on your Facebook page: ""They will ..."" - 1"
3/15/20 9:01,3/15/20 9:01,0,122.174.230.62,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,11,5,4,4,5,4,4,
3/15/20 9:01,3/15/20 9:02,0,67.184.67.249,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,1,1,1,1,1,1,4,3,3
3/15/20 9:01,3/15/20 9:02,0,74.65.215.100,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,3,2,3,2,2,2,4,4,4
3/15/20 9:01,3/15/20 9:02,0,138.88.187.7,anonymous,FR,,,,,,,,,,,,,4,1,5,9,1,1,4,4,4,4,4,4,,,,,,,,,,,,
3/15/20 9:02,3/15/20 9:02,0,122.174.230.62,anonymous,FR,,,,,,,,,,,,,4,4,4,11,11,4,4,4,4,4,4,4,,,,,,,,,,,,
3/15/20 9:02,3/15/20 9:02,0,122.164.220.99,anonymous,FR,4,3,2,3,3,2,3,2,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:01,3/15/20 9:02,0,144.48.37.134,anonymous,FR,4,4,3,5,3,4,4,5,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:01,3/15/20 9:03,0,45.31.82.218,anonymous,FR,4,3,3,4,3,3,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:01,3/15/20 9:03,0,108.91.62.79,anonymous,FR,,,,,,,,,,,,,4,1,5,1,1,1,1,1,1,5,5,5,,,,,,,,,,,,
3/15/20 9:01,3/15/20 9:03,0,66.67.112.200,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,1,2,2,3,1,3,4,3
3/15/20 9:01,3/15/20 9:03,0,24.167.162.47,anonymous,FR,4,2,3,2,1,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:02,3/15/20 9:03,0,173.19.18.91,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,3,3,2,1,1,1,1,1,1
3/15/20 9:02,3/15/20 9:03,0,75.110.108.8,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,1,1,1,1,1,4,4,4
3/15/20 9:03,3/15/20 9:03,0,108.65.124.61,anonymous,FR,,,,,,,,,,,,,4,1,3,10,9,2,2,1,1,3,3,3,,,,,,,,,,,,
3/15/20 9:03,3/15/20 9:04,0,99.101.39.20,anonymous,FR,4,2,2,3,3,3,2,2,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
