IP Address,Please name a brand that you have different feelings (some positive and some negative) about.,How likely are you to discuss brand [QID1-ChoiceTextEntryValue] on your Facebook page? - 1,How likely are you to discuss brand [QID1-ChoiceTextEntryValue] Anonymously on a public forum? - 1,How likely are you to discuss brand [QID1-ChoiceTextEntryValue] Identified on a public forum? - 1,Please name a brand that you strongly dislike.,How likely are you to discuss brand [QID10-ChoiceTextEntryValue] on your Facebook page? - 1,How likely are you to discuss brand [QID10-ChoiceTextEntryValue] Anonymously on a public forum? - 1,How likely are you to discuss brand [QID10-ChoiceTextEntryValue] Identified on a public forum? - 1,Please name a brand that you strongly like.,How likely are you to discuss brand [QID6-ChoiceTextEntryValue] Identified on a public forum? - 1,How likely are you to discuss brand [QID6-ChoiceTextEntryValue] on your Facebook page? - 1,How likely are you to discuss brand [QID6-ChoiceTextEntryValue] Anonymously on a public forum? - 1
107.195.124.108,Google,1,1,1,,,,,,,,
117.213.37.161,good brand,4,5,4,,,,,,,,
151.49.135.245,,,,,,,,,Casio,5,2,5
86.181.76.105,,,,,,,,,Nintendo,4,1,4
79.42.216.55,,,,,HTC,2,4,2,,,,
49.37.201.227,NIKE,5,4,4,,,,,,,,
193.137.95.10,,,,,McDonalds,2,2,2,,,,
117.217.209.247,,,,,APPLE,4,4,3,,,,
151.30.137.40,FACEBOOK,4,3,4,,,,,,,,
117.217.209.247,,,,,,,,,APPLE,5,5,4
107.148.226.143,,,,,,,,,Nike,4,4,3
199.127.59.252,,,,,big mac,3,3,3,,,,
73.183.136.96,SAMSUNG,3,4,4,,,,,,,,
122.174.199.72,NIKE,3,4,3,,,,,,,,
77.111.246.89,,,,,fila,2,2,2,,,,
121.44.211.248,,,,,,,,,Apple,5,5,5
49.206.126.52,,,,,NIKE,3,4,3,,,,
122.174.199.186,,,,,SOME ONE SPECIAL,4,4,4,,,,
199.83.210.158,,,,,HEC  MONTREAL,3,4,3,,,,
199.83.210.186,,,,,,,,,ADIDAS,4,4,4
117.201.14.84,,,,,Nike ,5,4,5,,,,
66.115.183.146,,,,,Guinness ,2,2,2,,,,
49.37.201.227,ZOMATO,4,5,5,,,,,,,,
199.83.210.173,cococola,4,2,3,,,,,,,,
122.174.152.35,apple,3,3,3,,,,,,,,
112.133.237.63,LUX,4,4,4,,,,,,,,
59.99.221.253,Nike,4,4,3,,,,,,,,
49.37.203.27,,,,,,,,,UBER,4,4,5
157.50.70.141,,,,,,,,,samsung,5,5,3
70.32.0.61,,,,,,,,,AMAZON ,5,5,5
59.99.221.253,,,,,Nike,5,5,5,,,,
117.217.209.247,APPLE,4,2,3,,,,,,,,
103.99.150.236,,,,,,,,,facebook,4,4,3
122.174.177.251,Walmart,3,4,3,,,,,,,,
173.244.44.91,Nike,5,3,4,,,,,,,,
73.185.38.166,,,,,,,,,amazon,4,5,4
117.217.209.247,SANA,4,4,4,,,,,,,,
73.183.136.96,,,,,HONOR,2,4,5,,,,
117.213.37.99,,,,,,,,,Nike ,5,4,5
157.51.245.152,,,,,Nike,2,2,3,,,,
117.213.34.23,,,,,Nike,4,5,4,,,,
192.158.234.225,,,,,Coco cola,2,3,4,,,,
122.174.125.111,"Positive emotion may be considered as any feeling where there is a lack of negativity, such that no pain or discomfort is felt. Frederickson (2009) identifies the ten most common positive emotions as joy, gratitude, serenity, interest, hope, pride, amusement, inspiration, awe and love.",3,3,4,,,,,,,,
199.83.210.155,Starbucks ,4,4,3,,,,,,,,
117.213.37.161,,,,,,,,,good product,4,5,4
117.217.209.247,,,,,,,,,TRENDS,4,4,4
108.48.188.151,,,,,,,,,Sony,4,4,5
117.213.32.251,INNOCENT AND BOLDNESS,3,3,3,,,,,,,,
112.133.237.63,Take a word out of context (Apple),4,3,3,,,,,,,,
112.133.237.63,,,,,LUX,4,5,5,,,,
117.213.34.23,,,,,Nike,3,4,4,,,,
117.216.35.143,,,,,,,,,nike,4,4,4
122.174.165.157,,,,,PREETHI,4,4,5,,,,
122.174.226.102,,,,,,,,,Apple,3,4,3
31.157.19.17,,,,,apple,4,3,3,,,,
122.164.216.66,,,,,,,,,RAMRAJ,4,4,4
117.213.34.23,,,,,nike,5,5,4,,,,
157.51.187.56,MONTREAL,5,5,5,,,,,,,,
66.115.183.146,,,,,apple,4,5,5,,,,
117.217.212.229,,,,,,,,,Nike,5,5,5
59.99.221.253,,,,,,,,,Nike,4,3,4
157.50.106.166,,,,,,,,,Lakeme,5,4,4
122.174.115.177,,,,,,,,,walmart,4,5,4
112.133.237.63,SAMSUNG,5,5,5,,,,,,,,
117.216.35.143,,,,,nike,5,4,5,,,,
122.174.224.212,,,,,,,,,Sony,5,5,4
117.217.209.247,NOTHING,1,2,1,,,,,,,,
117.213.38.223,,,,,Nike ,4,4,4,,,,
117.217.212.229,,,,,,,,,nike,5,4,5
117.213.32.251,,,,,,,,,NIKE,4,4,4
117.213.37.99,I like the Nike brand very much,4,5,4,,,,,,,,
73.91.206.91,nike,3,4,4,,,,,,,,
108.48.188.151,,,,,,,,,google,5,5,5
117.217.212.229,nike,5,5,5,,,,,,,,
117.213.34.23,,,,,,,,,Nike,4,4,3
122.164.216.66,,,,,,,,,ALYA,1,1,1
70.32.0.61,,,,,,,,,JEEP,4,3,3
49.37.203.27,POSITIVE INTERESTING,5,4,2,,,,,,,,
73.185.38.166,,,,,samsung,5,5,4,,,,
199.83.210.186,adidas its a good brand it does not have a negative,4,4,4,,,,,,,,
122.164.210.184,Jacuzzi,4,4,3,,,,,,,,
96.231.178.243,,,,,None,4,4,3,,,,
103.99.150.213,,,,,,,,,Puma,5,4,3
73.76.139.16,,,,,SAMSUNG,4,4,4,,,,
73.32.176.62,,,,,H & M,4,5,5,,,,
69.245.105.163,,,,,,,,,Starbucks,4,5,4
103.114.211.23,Apple,5,5,5,,,,,,,,
49.37.203.27,,,,,,,,,GOOGLE,5,5,5
108.48.188.151,,,,,colgate,4,4,4,,,,
72.189.139.13,Nike,2,2,2,,,,,,,,
122.174.224.206,,,,,LG,5,5,5,,,,
73.135.171.149,,,,,NONE,5,5,5,,,,
42.109.147.209,,,,,,,,,amazon,4,4,4
49.37.203.119,,,,,KAT VON D,4,4,5,,,,
70.32.0.61,,,,,Flip cart,2,1,2,,,,
