IP Address,attitude,likely_Identified,likely_Anonymous,likely_Facebook
107.195.124.108,1,1,1,1
117.213.37.161,1,4,5,4
151.49.135.245,2,5,5,2
86.181.76.105,2,4,4,1
79.42.216.55,3,2,4,2
49.37.201.227,1,4,4,5
193.137.95.10,3,2,2,2
117.217.209.247,3,3,4,4
151.30.137.40,1,4,3,4
117.217.209.247,2,5,4,5
107.148.226.143,2,4,3,4
199.127.59.252,3,3,3,3
73.183.136.96,1,4,4,3
122.174.199.72,1,3,4,3
77.111.246.89,3,2,2,2
121.44.211.248,2,5,5,5
49.206.126.52,3,3,4,3
122.174.199.186,3,4,4,4
199.83.210.158,3,3,4,3
199.83.210.186,2,4,4,4
117.201.14.84,3,5,4,5
66.115.183.146,3,2,2,2
49.37.201.227,1,5,5,4
199.83.210.173,1,3,2,4
122.174.152.35,1,3,3,3
112.133.237.63,1,4,4,4
59.99.221.253,1,3,4,4
49.37.203.27,2,4,5,4
157.50.70.141,2,5,3,5
70.32.0.61,2,5,5,5
59.99.221.253,3,5,5,5
117.217.209.247,1,3,2,4
103.99.150.236,2,4,3,4
122.174.177.251,1,3,4,3
173.244.44.91,1,4,3,5
73.185.38.166,2,4,4,5
117.217.209.247,1,4,4,4
73.183.136.96,3,5,4,2
117.213.37.99,2,5,5,4
157.51.245.152,3,3,2,2
117.213.34.23,3,4,5,4
192.158.234.225,3,4,3,2
122.174.125.111,1,4,3,3
199.83.210.155,1,3,4,4
117.213.37.161,2,4,4,5
117.217.209.247,2,4,4,4
108.48.188.151,2,4,5,4
117.213.32.251,1,3,3,3
112.133.237.63,1,3,3,4
112.133.237.63,3,5,5,4
117.213.34.23,3,4,4,3
117.216.35.143,2,4,4,4
122.174.165.157,3,5,4,4
122.174.226.102,2,3,3,4
31.157.19.17,3,3,3,4
122.164.216.66,2,4,4,4
117.213.34.23,3,4,5,5
157.51.187.56,1,5,5,5
66.115.183.146,3,5,5,4
117.217.212.229,2,5,5,5
59.99.221.253,2,4,4,3
157.50.106.166,2,5,4,4
122.174.115.177,2,4,4,5
112.133.237.63,1,5,5,5
117.216.35.143,3,5,4,5
122.174.224.212,2,5,4,5
117.217.209.247,1,1,2,1
117.213.38.223,3,4,4,4
117.217.212.229,2,5,5,4
117.213.32.251,2,4,4,4
117.213.37.99,1,4,5,4
73.91.206.91,1,4,4,3
108.48.188.151,2,5,5,5
117.217.212.229,1,5,5,5
117.213.34.23,2,4,3,4
122.164.216.66,2,1,1,1
70.32.0.61,2,4,3,3
49.37.203.27,1,2,4,5
73.185.38.166,3,4,5,5
199.83.210.186,1,4,4,4
122.164.210.184,1,3,4,4
96.231.178.243,3,3,4,4
103.99.150.213,2,5,3,4
73.76.139.16,3,4,4,4
73.32.176.62,3,5,5,4
69.245.105.163,2,4,4,5
103.114.211.23,1,5,5,5
49.37.203.27,2,5,5,5
108.48.188.151,3,4,4,4
72.189.139.13,1,2,2,2
122.174.224.206,3,5,5,5
73.135.171.149,3,5,5,5
42.109.147.209,2,4,4,4
49.37.203.119,3,5,4,4
70.32.0.61,3,2,1,2
122.164.237.189,2,5,4,5
122.164.215.116,2,4,3,5
106.206.59.81,1,2,2,4
199.83.210.186,2,4,3,4
76.99.161.128,1,5,4,4
171.49.177.37,3,5,4,4
117.216.35.143,1,4,4,5
104.236.213.230,3,3,3,3
69.158.246.171,1,1,1,1
103.114.211.114,1,3,3,2
107.77.241.27,3,1,1,1
95.234.108.250,2,5,5,5
117.213.37.161,3,4,3,5
24.230.84.102,1,2,2,2
199.83.210.158,2,3,2,4
117.213.34.23,1,5,4,5
23.241.84.46,1,2,3,2
104.236.213.230,2,5,5,5
45.117.46.23,2,4,4,3
94.60.138.128,1,2,2,2
71.222.219.141,2,2,2,4
95.234.108.250,3,3,3,3
117.217.212.229,2,5,4,5
151.24.70.137,1,3,2,1
103.114.211.23,3,1,2,1
49.34.81.200,3,3,2,2
157.51.77.4,3,3,4,2
122.164.215.116,3,5,4,5
114.29.236.221,1,5,5,4
103.99.150.213,2,4,4,4
185.212.168.179,3,4,4,3
173.237.102.229,3,1,1,1
103.114.211.23,3,3,3,2
85.148.41.37,1,4,4,4
157.46.55.224,1,5,5,5
176.61.84.173,2,2,3,2
117.213.37.99,3,4,4,4
157.50.126.5,2,4,3,4
2.45.51.148,3,4,3,1
71.217.52.252,3,4,4,1
85.148.41.37,2,4,4,4
122.174.224.202,2,5,5,5
114.29.236.221,3,3,1,2
122.174.224.219,3,5,5,5
49.34.81.200,1,4,3,4
176.61.84.173,1,3,2,2
172.58.175.207,1,1,1,1
76.99.161.128,1,3,2,4
49.207.131.40,1,5,4,4
122.164.215.116,2,1,5,4
157.51.77.4,2,4,4,4
103.114.211.23,2,1,1,1
199.83.210.187,2,4,4,3
93.42.24.3,3,3,3,3
73.129.215.209,1,4,4,4
59.99.221.253,1,5,4,5
103.114.211.114,1,4,3,4
49.207.131.40,1,3,3,5
122.174.112.121,1,4,5,4
177.128.44.240,2,5,2,5
157.50.126.5,3,4,4,4
114.29.236.221,2,4,5,5
