IP Address,brand,negative,positive,mixed,indecisive,conflicted,likely_identified,likely_Facebook,likely_Anonymous,norm_Anonymous,norm_Facebook,norm_Identified
122.174.230.62,3,4,5,4,5,4,4,4,5,4,0,4
67.184.67.249,3,1,5,1,1,1,1,1,1,3,3,4
74.65.215.100,3,2,3,3,3,2,2,2,2,4,4,4
138.88.187.7,2,1,5,2,1,1,4,4,4,4,4,4
122.174.230.62,2,4,4,4,4,4,4,4,4,4,4,4
122.164.220.99,1,3,2,3,2,3,3,3,2,2,2,4
144.48.37.134,1,4,3,5,4,3,4,4,5,5,4,5
45.31.82.218,1,3,3,4,3,3,2,2,2,3,3,3
108.91.62.79,2,1,5,1,1,1,1,1,1,5,5,5
66.67.112.200,3,2,5,2,2,1,2,3,1,4,3,3
24.167.162.47,1,2,3,2,2,1,2,1,2,2,2,2
173.19.18.91,3,1,1,3,2,3,1,1,1,1,1,1
75.110.108.8,3,2,2,5,1,1,1,1,1,4,4,4
108.65.124.61,2,1,3,3,2,2,1,2,1,3,3,3
99.101.39.20,1,2,2,3,3,3,3,2,2,2,4,2
212.56.134.116,1,1,5,5,3,1,4,4,4,1,4,4
68.134.60.150,2,1,4,2,2,2,3,3,3,3,3,3
208.87.236.201,3,2,4,2,2,2,1,1,1,4,4,4
68.101.149.23,3,2,2,2,1,1,1,2,4,4,4,4
106.197.176.152,3,1,5,1,3,3,5,5,5,4,5,5
103.219.206.210,1,1,4,4,1,1,4,5,4,4,4,5
107.193.102.32,2,1,4,2,2,1,2,1,2,3,3,3
69.157.229.101,2,1,2,2,2,2,1,1,1,3,3,3
75.165.9.27,1,2,3,4,3,2,2,2,2,4,4,4
117.216.33.150,2,3,4,3,4,4,3,3,4,4,4,3
75.131.9.255,2,1,4,2,1,1,1,1,1,3,3,3
5.224.117.75,1,1,4,5,1,1,5,5,5,5,5,5
71.197.29.222,1,2,3,4,3,4,1,2,1,3,3,4
77.32.96.17,3,3,2,3,2,3,1,1,1,3,3,3
186.204.73.215,3,1,4,3,2,1,3,3,4,4,4,4
117.216.33.164,2,3,4,3,3,4,3,3,4,4,3,4
73.130.48.134,2,1,5,1,1,2,4,3,3,3,4,4
115.186.187.237,1,2,4,2,2,4,2,1,2,4,3,4
70.187.34.49,3,1,5,1,1,1,3,3,3,3,4,4
157.51.82.252,2,2,4,4,4,3,2,2,2,3,3,3
49.207.141.223,1,4,3,4,2,5,3,3,4,5,5,4
76.118.53.239,3,2,4,2,1,1,2,2,2,3,0,3
117.216.33.164,3,1,5,4,4,2,4,5,4,4,5,4
96.239.71.235,2,3,5,4,3,1,5,3,2,4,3,3
185.247.119.180,1,2,4,3,5,3,3,3,3,4,3,3
75.90.109.168,3,2,3,3,3,4,4,2,3,4,3,4
67.220.17.74,1,1,3,1,1,1,1,1,1,4,4,4
117.216.33.164,3,1,4,2,3,2,5,4,5,5,5,4
74.111.11.48,1,4,1,1,1,1,2,1,1,2,2,2
68.13.117.217,2,1,5,2,1,1,1,1,1,4,4,4
45.182.176.206,2,1,4,3,3,3,4,3,4,3,4,4
99.241.182.203,3,1,2,3,3,3,1,1,3,3,3,2
67.240.58.210,2,1,2,3,3,2,2,3,2,3,3,3
217.138.195.154,3,1,4,4,5,5,4,5,5,4,3,5
157.49.251.88,1,2,4,4,4,4,4,4,4,3,4,4
46.12.14.136,1,3,4,3,4,3,3,2,4,3,2,3
171.61.181.120,1,2,3,2,2,2,2,1,2,3,4,4
173.113.57.51,3,1,5,3,1,1,3,3,3,5,5,5
122.183.165.231,2,3,2,3,2,1,4,4,4,2,4,4
49.207.142.213,1,1,5,5,4,4,5,4,4,4,5,4
68.23.216.105,3,4,5,4,4,4,4,3,4,3,3,4
162.211.39.121,2,4,2,4,4,4,1,1,1,3,3,1
73.148.231.128,2,1,4,3,1,1,4,4,3,4,4,4
75.83.101.210,3,5,1,1,1,1,1,3,3,3,3,3
181.177.218.26,1,4,3,2,3,3,1,1,1,3,3,3
112.196.157.5,3,2,3,2,1,1,2,3,4,4,4,4
69.203.194.200,3,1,4,2,1,1,3,3,3,3,3,3
171.49.186.29,1,3,4,4,4,4,4,4,4,4,4,4
70.162.25.201,3,4,2,5,2,3,1,1,1,3,3,3
99.161.80.32,2,1,4,2,2,3,4,4,4,4,4,4
76.25.212.163,1,2,4,3,2,3,3,1,1,3,3,3
68.204.214.125,3,2,4,2,2,2,2,2,2,4,3,4
71.208.127.174,2,1,5,3,2,1,5,4,4,4,4,3
74.82.60.91,1,1,4,2,1,1,4,3,4,4,5,5
117.216.33.164,3,1,4,4,1,1,4,4,4,4,4,4
174.226.135.208,2,1,2,2,2,2,1,1,1,3,3,3
67.177.180.201,1,2,2,4,3,3,2,2,2,2,2,2
197.237.24.234,1,1,5,1,4,3,3,5,4,4,5,4
117.217.212.240,2,1,5,3,4,2,5,5,5,4,5,5
117.216.37.86,3,1,5,2,2,2,4,5,5,5,4,4
199.83.210.131,2,1,4,3,4,3,4,4,4,4,4,4
23.111.188.5,3,1,5,1,3,1,4,3,4,4,4,5
108.213.140.246,3,3,1,2,2,2,1,1,1,3,3,3
207.44.32.7,2,5,5,3,4,3,1,1,1,3,3,3
5.62.57.43,1,3,3,5,3,4,3,2,3,3,3,3
117.213.37.104,2,4,5,4,5,5,4,4,5,4,5,5
157.51.195.44,1,2,4,2,2,4,4,4,4,4,4,4
71.222.150.148,2,2,3,4,4,2,4,3,3,3,3,4
71.206.17.211,3,4,4,3,3,3,1,1,1,3,3,3
103.99.219.123,1,2,5,4,1,2,4,4,2,4,4,4
117.217.212.240,2,1,4,5,4,3,3,5,4,5,5,5
117.217.212.240,1,1,4,2,4,4,3,4,5,4,4,4
117.241.213.176,3,1,5,4,3,4,4,4,4,5,5,4
117.241.213.176,3,3,4,2,4,4,5,4,4,5,4,4
117.241.213.176,2,1,5,5,4,3,5,4,4,4,4,5
117.217.212.240,1,3,4,4,4,3,4,4,4,5,4,4
136.234.105.218,3,2,2,4,4,4,1,1,1,3,3,3
117.216.37.86,2,4,4,4,5,4,4,4,5,4,3,5
117.241.213.176,1,5,4,4,5,4,4,5,4,4,5,4
150.136.165.234,2,5,4,3,4,4,5,5,4,5,4,4
132.145.171.135,1,5,4,4,5,3,4,5,4,5,4,4
157.51.236.227,3,3,5,2,5,5,5,5,5,5,5,4
