IP Address,brand,negative,positive,mixed,indecisive,conflicted,likely_identified,likely_Facebook,likely_Anonymous,likely_Instagram,likely_Twitter,likely_Whatsapp,norm_Anonymous,norm_Facebook,norm_Identified,norm_Twitter,norm_Instagram,norm_Whatsapp
157.51.109.76,2,3,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4
63.150.210.198,3,2,4,9,3,9,1,1,1,1,1,1,3,4,3,3,3,3
103.114.211.78,1,5,5,4,4,4,4,5,4,5,5,4,3,4,5,4,4,5
38.126.71.6,3,4,4,3,4,4,2,2,2,2,2,2,3,3,3,3,3,3
47.196.127.126,1,2,4,5,3,2,1,2,1,1,1,1,3,3,3,3,3,3
104.33.146.30,2,2,3,3,3,2,1,1,1,1,1,1,3,3,3,3,3,3
173.88.8.208,1,1,4,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3
106.210.242.100,2,1,4,2,2,2,4,4,3,3,4,4,3,4,4,3,3,4
122.178.47.50,2,3,4,3,4,4,3,4,5,4,4,4,3,4,5,4,5,4
103.99.150.170,3,3,4,5,4,3,3,4,5,4,4,5,3,5,4,3,4,5
96.32.30.254,2,1,4,1,1,1,2,4,2,2,2,2,4,4,4,4,4,4
117.211.44.246,3,3,4,4,4,4,3,3,3,3,3,3,4,4,3,4,3,4
98.148.74.247,2,1,4,2,1,1,1,2,2,2,1,2,4,4,4,4,4,4
223.181.197.70,1,5,5,5,5,4,4,4,5,4,5,5,4,5,4,4,5,4
103.82.211.200,2,1,2,3,4,3,4,2,4,3,3,3,3,3,4,3,4,4
106.217.142.90,3,4,2,4,2,4,4,4,2,1,1,4,4,4,4,4,4,4
136.55.168.92,3,2,4,2,2,2,3,2,2,2,2,1,3,4,3,4,4,4
171.61.255.112,2,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4
72.52.87.97,1,2,4,2,3,1,4,4,4,3,4,2,5,5,4,5,5,5
175.101.89.195,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
157.50.97.167,1,3,3,3,4,4,4,4,3,4,2,2,4,3,4,3,4,2
116.88.75.48,2,1,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,4
122.174.200.163,2,1,4,4,4,5,4,5,3,5,4,4,5,4,5,5,4,4
104.63.94.49,3,1,5,1,1,1,4,4,3,3,4,2,4,5,5,4,3,3
116.206.220.43,1,2,5,2,1,1,3,4,4,2,2,4,3,5,3,3,3,4
174.128.181.165,3,1,4,2,3,4,4,3,5,4,5,4,4,4,5,4,3,5
117.216.59.225,2,2,4,2,2,4,4,4,4,3,3,4,4,4,4,3,3,4
101.0.35.25,1,5,4,4,4,4,5,4,5,5,4,4,2,2,2,2,4,5
106.197.165.237,3,3,5,5,4,1,3,1,4,3,3,1,4,4,4,4,4,3
76.179.245.90,2,1,5,1,1,1,3,4,4,4,2,4,4,4,4,4,4,4
24.56.22.55,1,2,3,4,4,3,3,3,3,1,2,1,3,2,2,2,2,2
108.224.155.0,3,3,3,3,2,2,3,4,4,2,3,3,2,2,3,2,3,4
68.226.253.34,2,2,3,4,2,3,4,3,4,2,3,2,4,3,4,4,4,3
47.27.116.60,1,1,4,2,2,2,3,3,3,3,3,2,4,4,4,4,4,3
184.54.194.166,2,2,2,3,2,2,3,1,3,1,2,1,4,4,4,4,4,3
117.249.198.223,1,3,5,3,1,1,2,2,1,4,1,2,5,5,5,5,5,5
157.51.236.176,3,4,2,4,3,2,3,3,2,3,3,2,3,4,2,2,2,2
24.126.208.48,1,3,2,1,1,1,3,2,3,2,5,1,3,3,3,3,3,3
157.51.236.237,2,1,3,10,3,10,4,4,4,4,4,4,4,4,4,4,4,4
115.99.35.53,3,1,5,1,1,1,5,4,4,5,5,5,3,5,4,4,5,5
50.194.108.69,3,3,2,4,3,3,2,2,2,2,2,2,3,3,3,3,3,3
12.165.92.126,1,2,5,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3
43.229.88.194,2,2,4,10,2,9,3,3,4,2,2,4,4,4,4,4,4,4
172.58.27.92,3,2,3,2,2,2,1,1,1,2,1,1,3,3,3,3,4,3
162.194.116.241,1,2,5,2,1,2,2,1,1,1,1,1,3,3,3,2,3,3
68.100.174.128,3,,,1,1,,,,,,,,,,,,,
117.202.41.238,1,3,4,4,4,5,4,4,5,5,4,4,4,4,5,4,4,5
71.74.14.176,3,2,4,3,2,2,2,1,1,1,1,1,3,3,3,3,3,3
103.136.136.107,1,4,5,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3
157.50.90.98,1,2,2,,2,,,,,,,,,,,,,
